episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
138,275.2813,91.7604,0.2368,73.8408,1.0778,0.6445,0.1167,0.7278
409,56.6805,18.8935,0.7333,36.7524,1.0000,0.5946,0.0000,0.6722
139,247.4872,82.4957,0.2007,95.3246,1.0481,0.6237,0.1944,0.6556
410,37.7410,12.5803,0.7333,36.4055,1.0000,0.5906,0.0000,0.7333
140,95.8084,31.9361,0.1797,135.2399,1.0926,0.5775,0.3611,0.5667
411,66.7353,22.2451,0.7333,39.4548,1.0000,0.5394,0.0000,0.8222
141,317.7518,105.9173,0.2320,56.7118,1.0000,0.6596,0.0500,0.6556
412,-30.2601,-10.0867,0.6833,53.6284,1.0333,0.5057,0.0500,0.6722
142,254.1978,84.7326,0.2144,96.3547,1.0926,0.6186,0.1944,0.7056
413,1.2081,0.4027,0.7333,37.9582,1.0000,0.5729,0.0000,0.7278
143,270.2870,90.0957,0.2323,69.4081,1.0074,0.6510,0.1000,0.6556
414,15.8812,5.2937,0.7333,31.6771,1.0000,0.6792,0.0000,0.6667
144,193.1747,64.3916,0.1891,93.8356,1.0889,0.6129,0.1889,0.5833
415,79.0381,26.3460,0.7333,37.4427,1.0000,0.5806,0.0000,0.7444
145,221.3650,73.7883,0.2581,118.9519,1.0963,0.6107,0.3111,0.6500
416,67.8321,22.6107,0.7333,36.4155,1.0000,0.6050,0.0000,0.7778
146,226.7906,75.5969,0.2568,97.3235,1.1037,0.6330,0.2222,0.6889
417,106.3037,35.4346,0.7333,34.7575,1.0000,0.6245,0.0000,0.8056
147,116.4732,38.8244,0.2289,119.1851,1.0407,0.6151,0.3111,0.5778
418,-8.7761,-2.9254,0.7333,30.5588,1.0000,0.6942,0.0000,0.7167
148,200.3489,66.7830,0.1896,110.1566,1.0667,0.6118,0.2444,0.6722
419,61.9153,20.6384,0.7333,37.7060,1.0000,0.5658,0.0000,0.7222
149,202.4913,67.4971,0.2367,90.4297,1.0333,0.6438,0.1944,0.6000
420,94.5226,31.5075,0.7333,33.3777,1.0000,0.6436,0.0000,0.6889
150,258.9964,86.3321,0.2324,97.4666,1.0481,0.6291,0.2056,0.6944
421,69.8383,23.2794,0.7333,37.7720,1.0000,0.5742,0.0000,0.8111
151,259.6309,86.5436,0.2562,54.7764,1.0037,0.6678,0.0500,0.6667
422,90.2831,30.0944,0.7333,33.3678,1.0000,0.6497,0.0000,0.7222
152,282.7232,94.2411,0.2090,82.6206,1.0704,0.6313,0.1278,0.7667
423,-19.8484,-6.6161,0.7333,33.0601,1.0000,0.6596,0.0000,0.6722
153,319.8191,106.6064,0.2604,78.3438,1.0593,0.6524,0.1333,0.7833
424,102.0220,34.0073,0.7333,35.7018,1.0000,0.6110,0.0000,0.8333
154,149.3431,49.7810,0.2027,92.2348,1.0185,0.6286,0.1889,0.5944
425,53.7597,17.9199,0.7333,31.7523,1.0000,0.6807,0.0000,0.6667
155,189.5082,63.1694,0.1991,116.1737,1.0519,0.6148,0.2889,0.5944
426,80.6486,26.8829,0.7333,32.2394,1.0000,0.6678,0.0000,0.6944
156,184.5789,61.5263,0.1820,108.0570,1.0926,0.6106,0.2389,0.5278
427,66.9569,22.3190,0.7333,35.4461,1.0000,0.6138,0.0000,0.7611
157,315.8796,105.2932,0.2500,64.8730,1.0556,0.6489,0.0833,0.7389
428,95.3604,31.7868,0.7333,36.1251,1.0000,0.6016,0.0000,0.8056
158,303.9974,101.3325,0.2215,66.7770,1.0481,0.6464,0.0722,0.6889
429,48.4173,16.1391,0.7333,37.0896,1.0000,0.5852,0.0000,0.7833
159,284.4385,94.8128,0.2847,89.4611,1.0741,0.6505,0.2000,0.6500
430,-17.3462,-5.7821,0.7333,39.9357,1.0000,0.5308,0.0000,0.6889
160,291.0627,97.0209,0.2485,76.7016,1.0333,0.6551,0.1278,0.6833
431,62.1002,20.7001,0.7267,42.7473,1.0074,0.5240,0.0111,0.7944
161,288.8269,96.2756,0.2427,72.4631,1.0074,0.6580,0.1222,0.6000
432,82.0814,27.3605,0.7333,39.8396,1.0000,0.5358,0.0000,0.9111
162,90.4809,30.1603,0.1559,136.9256,1.0481,0.5809,0.3611,0.4778
433,72.2359,24.0786,0.7333,40.6781,1.0000,0.5200,0.0000,0.8944
163,27.6973,9.2324,0.1275,159.5480,1.0000,0.5495,0.4500,0.4611
434,15.2063,5.0688,0.6667,68.7761,1.0741,0.4759,0.1111,0.7333
164,131.7050,43.9017,0.1925,103.9529,1.1000,0.6087,0.2278,0.6889
435,55.9272,18.6424,0.7267,42.8243,1.0074,0.5271,0.0111,0.7778
165,316.4342,105.4781,0.2574,60.9222,1.0444,0.6572,0.0667,0.7111
436,56.7112,18.9037,0.7333,38.0965,1.0000,0.5665,0.0000,0.8389
166,185.5611,61.8537,0.2235,101.1425,1.0481,0.6234,0.2278,0.5278
437,86.8013,28.9338,0.7333,37.2404,1.0000,0.5800,0.0000,0.8278
167,138.1114,46.0371,0.1514,111.1926,1.0407,0.5974,0.2500,0.4667
438,-189.7568,-63.2523,0.7333,37.0774,1.0000,0.5844,0.0000,0.8722
439,20.9484,6.9828,0.7333,36.9275,1.0000,0.5851,0.0000,0.8333
168,76.8327,25.6109,0.1406,134.4813,1.0556,0.5762,0.3389,0.5333
440,42.1937,14.0646,0.7333,40.2800,1.0000,0.5270,0.0000,0.8556
169,163.0192,54.3397,0.2242,110.1180,1.1111,0.6117,0.2556,0.6722
441,71.9496,23.9832,0.7333,37.7257,1.0000,0.5778,0.0000,0.7556
170,35.4653,11.8218,0.1474,160.7107,1.0704,0.5479,0.4500,0.5000
442,77.0208,25.6736,0.7333,39.2729,1.0000,0.5459,0.0000,0.8444
171,-113.0221,-37.6740,0.1303,203.9215,1.0111,0.5138,0.6333,0.4333
443,89.9475,29.9825,0.7333,37.1122,1.0000,0.5826,0.0000,0.8833
172,-130.6149,-43.5383,0.1056,202.9855,1.0037,0.5131,0.6278,0.4278
444,69.8931,23.2977,0.7333,37.6477,1.0000,0.5794,0.0000,0.6944
173,-32.4592,-10.8197,0.1487,178.4734,1.0259,0.5371,0.5278,0.4333
445,83.9807,27.9936,0.7333,35.5617,1.0000,0.6135,0.0000,0.6944
174,-90.8738,-30.2913,0.1465,200.1007,1.0037,0.5195,0.6222,0.4167
446,63.4321,21.1440,0.7200,45.7328,1.0148,0.5208,0.0222,0.8222
175,-172.5873,-57.5291,0.1428,195.6403,1.0074,0.5284,0.6056,0.4444
447,68.0674,22.6891,0.7333,36.9292,1.0000,0.5853,0.0000,0.6778
176,-75.6853,-25.2284,0.1178,168.1859,1.0111,0.5370,0.4833,0.4111
448,59.4126,19.8042,0.6900,56.9893,1.0481,0.5232,0.0722,0.7389
177,-118.4582,-39.4861,0.1241,179.1949,1.0074,0.5363,0.5333,0.4389
449,78.1173,26.0391,0.7333,39.2626,1.0000,0.5391,0.0000,0.8389
178,-143.2925,-47.7642,0.1072,189.4079,1.0074,0.5208,0.5722,0.4278
450,103.5616,34.5205,0.7333,36.4865,1.0000,0.5969,0.0000,0.8500
179,-27.2528,-9.0843,0.1245,171.2438,1.0037,0.5391,0.5056,0.4333
451,69.1497,23.0499,0.7333,38.9320,1.0000,0.5543,0.0000,0.8611
180,26.5114,8.8371,0.1919,145.8215,1.0333,0.5733,0.4056,0.4833
452,37.6115,12.5372,0.6900,60.6944,1.0481,0.4653,0.0722,0.8167
181,68.6138,22.8713,0.1577,142.9935,1.0111,0.5750,0.3944,0.4944
453,43.1257,14.3752,0.7200,48.4286,1.0148,0.4708,0.0222,0.7500
182,161.3207,53.7736,0.2176,128.5902,1.0778,0.5986,0.3389,0.5667
454,36.2687,12.0896,0.6733,67.6906,1.0222,0.4501,0.1000,0.8167
183,58.1921,19.3974,0.1555,149.3652,1.0148,0.5736,0.4222,0.4611
455,24.7728,8.2576,0.7333,42.4514,1.0000,0.4932,0.0000,0.8611
184,184.1119,61.3706,0.2333,123.7057,1.0889,0.5993,0.3222,0.5889
456,-32.6983,-10.8994,0.5500,91.0528,1.1222,0.4264,0.1833,0.5056
185,102.1977,34.0659,0.1740,110.6783,1.0704,0.6017,0.2500,0.4889
457,-34.4377,-11.4792,0.7333,45.7276,1.0000,0.4221,0.0000,0.8222
186,119.3581,39.7860,0.1962,127.1152,1.0111,0.6052,0.3389,0.5278
458,44.4752,14.8251,0.6867,61.8876,1.0519,0.4597,0.0778,0.8556
187,152.0379,50.6793,0.1812,113.0006,1.0481,0.6003,0.2722,0.5333
459,53.9214,17.9738,0.7333,44.2524,1.0000,0.4656,0.0000,0.9222
188,96.7116,32.2372,0.1737,139.9407,1.0148,0.5853,0.3889,0.5111
460,43.4306,14.4769,0.6833,55.5263,1.0333,0.4769,0.0500,0.7056
189,211.9329,70.6443,0.2154,107.5951,1.0926,0.6152,0.2500,0.6167
461,-21.0346,-7.0115,0.7333,43.0040,1.0000,0.4753,0.0000,0.7056
190,179.9975,59.9992,0.2139,109.3649,1.0148,0.6223,0.2722,0.5000
