episode,total_reward,avg_reward_per_drone,avg_pdr,avg_delay_ms,avg_hop,avg_trust,avg_disconnect,avg_detection
80,-5907.8818,-590.7882,0.1290,229.4399,1.0996,0.2900,0.7381,0.1533
156,-5156.0634,-515.6063,0.1065,239.6281,1.1222,0.2811,0.7744,0.1533
107,-3273.7913,-327.3791,0.1346,229.0466,1.0669,0.2946,0.7381,0.1567
191,-4979.4224,-497.9422,0.1144,232.7618,1.1620,0.2853,0.7470,0.1550
81,-8254.7614,-825.4761,0.0813,251.9634,1.1276,0.2636,0.8193,0.1500
157,-4489.1686,-448.9169,0.1158,231.6659,1.1377,0.2855,0.7430,0.1583
108,-3978.2117,-397.8212,0.1229,225.8392,1.2966,0.3040,0.7200,0.1683
192,-7786.4816,-778.6482,0.1111,235.0361,1.1120,0.2799,0.7559,0.1517
158,-5076.0073,-507.6007,0.1164,237.8155,1.1159,0.2791,0.7700,0.1533
82,-7677.8297,-767.7830,0.0933,247.2353,1.1858,0.2647,0.8026,0.1533
109,-5556.1445,-555.6144,0.1089,240.1297,1.2975,0.2812,0.7774,0.1667
193,-8125.5481,-812.5548,0.0951,244.0611,1.0959,0.2707,0.7896,0.1517
159,-5350.8805,-535.0880,0.0927,248.8062,1.1193,0.2633,0.8093,0.1517
83,-6415.7872,-641.5787,0.1097,238.3773,1.1463,0.2805,0.7700,0.1617
110,-7492.4176,-749.2418,0.1056,238.3296,1.1198,0.2800,0.7681,0.1683
194,-6285.6379,-628.5638,0.0873,247.7785,1.1283,0.2711,0.8033,0.1583
160,-4352.4501,-435.2450,0.1057,237.7965,1.2864,0.2820,0.7659,0.1617
111,-3704.1015,-370.4101,0.1152,236.6192,1.1104,0.2805,0.7644,0.1567
84,-5122.4136,-512.2414,0.0868,247.4711,1.1471,0.2725,0.8015,0.1600
195,-5330.6706,-533.0671,0.0933,246.6114,1.3382,0.2655,0.8000,0.1483
161,-6284.2916,-628.4292,0.0744,252.0009,1.1653,0.2640,0.8170,0.1567
112,-6602.4920,-660.2492,0.0939,240.5432,1.2261,0.2767,0.7737,0.1600
85,-8858.8654,-885.8865,0.0706,259.5384,1.0877,0.2518,0.8485,0.1500
196,-7145.7005,-714.5701,0.0993,242.2646,1.1076,0.2764,0.7833,0.1600
162,-6251.4158,-625.1416,0.1106,235.9563,1.1886,0.2816,0.7596,0.1650
113,-6836.2868,-683.6287,0.0930,244.7521,1.1336,0.2701,0.7922,0.1517
197,-4861.3513,-486.1351,0.1054,236.8825,1.2148,0.2766,0.7615,0.1517
86,-7078.9748,-707.8975,0.0846,248.0780,1.2370,0.2681,0.8033,0.1550
163,-6062.7963,-606.2796,0.0892,248.4072,1.1067,0.2655,0.8063,0.1617
114,-6386.7303,-638.6730,0.0850,247.7678,1.1703,0.2674,0.8022,0.1533
198,-7271.4563,-727.1456,0.1321,226.2579,1.1158,0.2961,0.7252,0.1500
87,-4960.3847,-496.0385,0.1118,233.6055,1.7601,0.2874,0.7500,0.1617
164,-5678.7138,-567.8714,0.1001,241.9362,1.1298,0.2730,0.7822,0.1517
115,-3636.2079,-363.6208,0.1106,230.9160,1.2978,0.2959,0.7378,0.1867
199,-5200.1793,-520.0179,0.0993,245.7184,1.1112,0.2688,0.7981,0.1550
88,-9027.4069,-902.7407,0.1116,234.0580,1.1610,0.2847,0.7515,0.1500
165,-5455.0894,-545.5089,0.0891,250.7291,1.1765,0.2602,0.8163,0.1483
116,-6146.6803,-614.6680,0.1073,237.0007,1.1840,0.2814,0.7633,0.1567
200,-7857.4365,-785.7436,0.1051,240.7073,1.1606,0.2744,0.7785,0.1567
166,-5452.2222,-545.2222,0.0893,247.9742,1.1632,0.2684,0.8048,0.1517
89,-5683.5881,-568.3588,0.1053,241.3231,1.1197,0.2744,0.7815,0.1500
117,-5143.3403,-514.3340,0.0717,254.0045,1.1424,0.2605,0.8248,0.1467
201,-4616.3016,-461.6302,0.0969,244.2102,1.1196,0.2714,0.7907,0.1533
167,-7944.1315,-794.4132,0.0871,246.7078,1.1793,0.2678,0.7985,0.1600
90,-7491.0405,-749.1041,0.0823,250.1498,1.1116,0.2619,0.8119,0.1467
118,-5091.2601,-509.1260,0.0949,239.0667,1.2976,0.2856,0.7678,0.1767
202,-7901.2821,-790.1282,0.0846,247.4524,1.2485,0.2674,0.8007,0.1567
168,-3736.7570,-373.6757,0.1261,225.6616,1.2163,0.3028,0.7204,0.1700
91,-6023.4322,-602.3432,0.0898,246.3447,1.1012,0.2666,0.7978,0.1533
119,-4279.9179,-427.9918,0.1166,233.9553,1.2340,0.2826,0.7530,0.1567
203,-7245.7758,-724.5776,0.0979,244.0855,1.1276,0.2689,0.7907,0.1500
169,-6933.0692,-693.3069,0.0605,260.3437,1.1517,0.2535,0.8485,0.1533
120,-7106.0974,-710.6097,0.1028,239.5760,1.1710,0.2770,0.7726,0.1550
92,-4266.5002,-426.6500,0.0995,241.3527,1.0779,0.2793,0.7796,0.1633
204,-5614.0960,-561.4096,0.0903,246.3961,1.1119,0.2636,0.7978,0.1367
170,-4657.2396,-465.7240,0.1337,224.9397,1.0989,0.3012,0.7204,0.1650
121,-3925.7319,-392.5732,0.1135,233.0173,1.2141,0.2837,0.7481,0.1483
205,-6386.4801,-638.6480,0.1180,230.3672,1.1530,0.2933,0.7381,0.1567
93,-9475.3160,-947.5316,0.0852,248.3169,1.1232,0.2628,0.8044,0.1467
